trip__pickup_hour,avg_tip_pct,avg_fare,total_tip_amount,total_trips
16,0.15578581636396338,22.458160291943233,8087795.899999971,2311682
17,0.15200564765444624,21.30601705867448,8347442.249999984,2577457
19,0.15138034951074722,19.993616851097094,7246437.659999991,2394218
18,0.1501623672843637,20.230046614443374,8189069.230000006,2695731
14,0.15015923263127684,22.146158399921802,7213879.059999981,2169294
13,0.14953369312954093,21.250830157342605,6394303.219999988,2012233
15,0.1492980430904682,22.272505039518038,7520449.119999974,2261625
12,0.1478733996313919,20.718934480866025,5933906.259999997,1936793
11,0.14784821788173666,20.43875837960313,5417380.820000002,1792746
20,0.14764183460366836,20.30308752547632,6625817.119999989,2210385
10,0.14559986346958145,20.070838944657485,4875879.510000002,1668501
21,0.14388884554234468,20.70872969423357,6742899.979999995,2262904
22,0.1346634357724274,21.439666378657208,6024700.060000011,2086737
9,0.13446698594996298,20.17359573581498,4374710.700000005,1612688
23,0.12346414473824655,22.210224628178437,4483233.640000011,1634924
8,0.11748823894049314,21.21107711681219,3769901.649999999,1512770
0,0.1140788324778092,21.961063733921037,2919136.7700000075,1165188
1,0.10596052392103614,20.317388693399874,1659842.6800000013,771001
7,0.10587845208886881,22.087035857074742,2677737.2100000023,1145046
2,0.0996554266664432,19.253483186717702,975831.119999999,508586
3,0.09148106934382634,20.293761141018418,666960.6700000004,359258
6,0.08783118859003036,24.407377322834638,1361267.889999999,635000
5,0.08663408878736133,27.22644629220273,765073.2999999999,324357
4,0.08274299869941407,24.96439480149788,609536.1,295085
